Gene.symbol	logFC
ST13	0.94762865
MRO	0.9461147
ENC1	0.9455484350000001
TMCC3	0.9451560050000001
LRRN3	0.944912155
CALHM2	0.944859585
P2RX7	0.94474675
LHCGR	0.94365542
EGR1	0.9435601966666667
CLDN1	0.94282629
CFL2	0.9426533366666666
IL10RA	0.94263087
BACH2	0.94067367
DEPDC7	0.94028873
YPEL4	0.94023931
REN	0.93944342
GLIS2	0.9392439
PPP1R14A	0.93865999
SCRN1	0.93837777
JADE2	0.9381394000000001
TSHZ2	0.9351476483333333
ATRNL1	0.9346972833333332
HEBP1	0.93317326
IFI44	0.932920405
TNFAIP8L3	0.93254063
SLC38A2	0.9316351733333333
CCDC178	0.93112316
PPP1R15A	0.9304644900000001
GNG11	0.9300773550000001
EPS15	0.929439795
ENPP5	0.9286857150000001
LIFR	0.927483114
FHL5	0.9259135733333334
ZNF25	0.9253262250000001
EOGT	0.92488734
EMCN	0.9237571233333334
MORF4L2	0.9221130933333334
C1orf162	0.92208234
CBS	0.9219929733333333
GJA5	0.9212787849999999
INSIG2	0.92124163
SPSB1	0.92057093
SUSD6	0.92009923
SOCS5	0.9171082066666667
MS4A6A	0.9163261457142857
SNAP25	0.9154278766666667
CILP2	0.9152130249999999
HCLS1	0.91322115
OXTR	0.91183058
MVP	0.91138863
CXCL2	0.9101887866666667
WDR17	0.907912945
MMRN2	0.9079000433333333
CPNE8	0.9069654966666666
C16orf54	0.90536316
DDIT4L	0.90279691
ST6GALNAC6	0.90252538
HTRA3	0.902427305
PAQR8	0.902423065
ATL1	0.90050823
TNFSF4	0.90013223
PGM5	0.8999315999999999
RGS4	0.8992412366666667
AKT3	0.8991134728571428
SLC41A1	0.89868066
GSTM5	0.89832172
RIN2	0.89624952
ASAP3	0.895622995
TRABD2A	0.89484611
CCR1	0.89458724
SLIT3	0.8944207266666666
TMEM120A	0.89289655
SOCS3	0.89256253
SEPP1	0.8892863033333334
CNRIP1	0.88744212
CD22	0.8865839475
ZNF331	0.8858444999999999
GAS1RR	0.88549867
KLF3-AS1	0.8840276
IGSF10	0.883662005
CTSS	0.8828665466666666
VWF	0.88106919
PPP1R3C	0.88075667
C5orf30	0.88042073
KLHL21	0.87979054
SLC16A14	0.87919245
MAP3K7CL	0.87861712
JAML	0.87704574
NPNT	0.87696579
STXBP1	0.8764033
CD59	0.874233372
CHRDL2	0.87336588
ITLN1	0.87315364
HSPB2	0.87276817
ANTXR2	0.8725100725
THBD	0.8720538800000001
TNS2	0.87149615
ZNF204P	0.87024246
GPR183	0.86936332
MCC	0.869187615
MAST4	0.8691375971428571
EPHA4	0.868977532
FNDC4	0.86842476
ZMAT1	0.8683513249999999
CLEC10A	0.86653447
NOD1	0.866165145
HCK	0.86540557
PLXNA4	0.8634800275
DNM3OS	0.861602485
RNF13	0.860898955
SLC15A3	0.86089516
NET1	0.8603643599999999
FGFR1OP2	0.8601867957142857
CSF1R	0.85876819
FCMR	0.8582993
ADAMDEC1	0.85823757
LIMA1	0.8580696033333333
TMEM55A	0.85797556
C1QTNF4	0.85795763
NFIB	0.8556124388888888
APOA1	0.8553561233333333
CMPK2	0.85479596
C4orf32	0.854320255
ZBTB4	0.853189825
CPEB4	0.85191322
ACSM3	0.851718405
PROX1	0.851646515
GPR155	0.8495593033333333
ANKRD42	0.84896989
CFB	0.848488305
FAM107A	0.8483690500000001
FAS	0.847935734
RWDD4	0.84738203
RAB33B	0.84728391
MGP	0.8468316250000001
IRAK3	0.8460112533333333
FABP3	0.845425575
IGSF6	0.844361005
SLC25A27	0.8442906459999999
TLCD2	0.8424958
DOCK10	0.84093355
IGFL2	0.83898302
GNAL	0.8384525325
BDNF	0.838443735
S1PR1	0.83575349
ZFP36	0.8351725
SERINC1	0.8345416
GABARAPL1	0.83365179
CAB39L	0.83319277
CHST15	0.83231011
FCGR2A	0.83115132
LURAP1L	0.83075659
CNTN1	0.8303379975
TCF7L2	0.8296778657142857
CSRP1	0.82952603
FAM63B	0.8286177575
NFIX	0.8285636475
TACC1	0.8284841083333333
C3orf80	0.82763994
PDGFRA	0.8275131225
ANKRD12	0.8266347374999999
PSD3	0.8247387966666667
SNCA	0.82350031
SPARCL1	0.82330957
CEP126	0.8211059566666666
DOCK11	0.82099363
MAP2	0.820757145
IGFBP1	0.8197260350000001
ABCA11P	0.81782114
FILIP1	0.81726363
PRNP	0.8171799200000001
CTSLP8	0.81712394
FSTL3	0.81697116
MTM1	0.81646649
ING2	0.816365105
MFSD1	0.81621719
ST3GAL4-AS1	0.8158144599999999
ENDOD1	0.8130183200000001
ZNF431	0.8103380233333334
PPP3CA	0.8101968766666666
FRMD3	0.8101267433333333
PDLIM5	0.809799963
CD69	0.80933746
FBLN5	0.80887183
DNAJB1	0.8078527900000001
CASP4	0.8076804200000001
HAS1	0.80689889
KPNA5	0.8064713
ISCU	0.80528028
PRKG1	0.8049831700000001
SYNE2	0.804814986
LILRB5	0.80402398
MEOX2	0.8026846950000001
EPAS1	0.8019122333333333
ZNF436	0.801820325
DPEP2	0.80180088
PLAGL1	0.8013729533333334
C1QTNF7	0.8013365800000001
GADD45A	0.80119972
TRHDE	0.80082909
ITGA1	0.8007368266666667
NCF2	0.79998438
C2CD2	0.79992871
PTGDR	0.7999070133333334
MS4A14	0.79909042
TM6SF1	0.79809379
RAPGEF3	0.79520925
LYPLAL1	0.79500254
LRRC32	0.79486504
SYTL4	0.7945221366666666
CYP27A1	0.79407631
GATM	0.79391748875
THSD7B	0.79360306
NR0B1	0.7934572400000001
LAG3	0.79338553
MINOS1P1	0.79276798
PALM2	0.79197038
GIMAP1	0.790672582
ZNF300P1	0.78929901
MRAS	0.7889082199999999
MRVI1	0.7868727133333333
JADE1	0.786782955
GOLGA8A	0.786089555
CCDC50	0.785232
COL14A1	0.78501295
OLFML2A	0.78240431
PWAR6	0.78197508
CLK1	0.78187824
MYH10	0.779180285
ANKRD29	0.77886836
PSAP	0.7763770050000001
PLAT	0.77624639
CD52	0.77534466
PDE1A	0.7751471971428572
FMNL3	0.7748977625
CHRM3	0.7746332166666667
SPRR2B	0.77439463
CDKN1C	0.77433685
LDB1	0.773829655
ITIH3	0.773738
STOM	0.7731560333333333
IRS4	0.772954895
SP110	0.772741516
NCF4	0.772078945
H2BFXP	0.77200342
CRTC3	0.771571355
GAB2	0.77139737
ZSCAN31	0.77075381
ADAM23	0.77032143
TSPYL2	0.77025477
ICAM1	0.77023924
WNK3	0.7698083600000001
CD36	0.769645426
WWTR1	0.7695468233333334
SLCO3A1	0.768908625
CASQ2	0.76871927
SPOPL	0.76860908000000006
MAFB	0.768262905
HLA-DPB1	0.767289725
PPM1K	0.763757824
WFIKKN2	0.76285614
STEAP4	0.762507775
LIMS2	0.76185925
RUFY3	0.7614895414285715
CAPN2	0.7606992450000001
RUNDC3B	0.76048198
C1QTNF1	0.76017466
KCNE4	0.7597767366666667
LY6H	0.75893176
GPR146	0.75813727
ZEB2	0.756515638
PLEKHA4	0.75646665
CHN2	0.7564314775000001
HSPB6	0.755304245
SLC40A1	0.75492057
KCNMB1	0.754564955
SIGLEC1	0.754524345
VWCE	0.75331216
ENG	0.7529425949999999
TIMP3	0.7528591299999999
AREG	0.7527290733333334
EMP2	0.7526334025
GCKR	0.75110012
FCHSD2	0.750708655
PIM1	0.75033486
TDRD6	0.7502532
SLAMF8	0.75001895
LPP	0.7498884474999999
POPDC2	0.74965691
CLIC2	0.74878796
PDGFA	0.7487493999999999
CADPS2	0.74819834
SLIT2	0.7478761
MTURN	0.74674529
DDR2	0.74614838000000006
PHLDB2	0.745945102
PTGS2	0.74458658
FERMT2	0.7435826266666667
CCDC110	0.74357291
BNIP3L	0.743229795
CHST11	0.7400585399999999
EID3	0.73911905
GYG1	0.73908489
IL6	0.73842746
RAB31	0.7379012933333333
SERTM1	0.73727292
EGR3	0.73647207
FGD4	0.7354375733333334
CDH5	0.7342368
CACNA2D1	0.73380726
QSOX1	0.73336238
PLD3	0.73153485
SORBS2	0.7312766
ABCA1	0.7310813475
PAIP2B	0.73105395
BEX4	0.73094014
LRRN4CL	0.73052664
OR7E47P	0.73030396
NYNRIN	0.72951188
ASAP1-IT1	0.72943615
INTS6L	0.72932711
TRIP10	0.72925707
MFAP4	0.72853247
SLC6A1	0.72851863
LMCD1	0.7260003733333333
GLUL	0.7258609425
ARHGAP25	0.72393412
GNG12	0.7233857966666666
LDB3	0.722966516
FZD4	0.722808045
CTGF	0.72258983
SIDT2	0.72247586
FCER1G	0.7222318050000001
SGK1	0.71997106
RRAD	0.7197532600000001
PBXIP1	0.719720735
BMP4	0.71900769
B3GALT2	0.717546205
SELP	0.71679487
GFPT2	0.71672827
GPR137B	0.71587963
ARMCX1	0.71474648
FAM228B	0.71466442
HSPA12A	0.71453239
VSIG10L	0.71291129
SSBP2	0.7121617566666667
IL13RA1	0.710729125
SPG20	0.709697585
DPY19L2P2	0.70939973
SRGAP2C	0.70861047
ADAP2	0.708339325
MB21D2	0.70821928
ALDH1A3	0.707817795
AVPI1	0.70727489
ST3GAL4	0.707240735
UGP2	0.7071951599999999
GYPC	0.70717882
TCERG1L	0.70702675
A2M-AS1	0.70698308
LYRM1	0.70646426
GMFG	0.70644095
CXCL6	0.70615203
TTC39B	0.7053852966666667
KLHDC1	0.704949435
JAM3	0.7036978466666667
GAS6	0.7036919150000001
CTIF	0.70357351
ADHFE1	0.7035562
PLA2G1B	0.70271405
S100A9	0.70265657
CD40	0.702610085
SESN1	0.70255862
EMILIN1	0.70244411
MXRA5	0.7019123
ASS1	0.70142885
MYO1D	0.70126939
LRP1	0.70056481
PTGFR	0.6994814149999999
FAM26E	0.6989757400000001
HOXC9	0.69877568
SP100	0.698753025
TGFBR2	0.69873932
GBP4	0.69855456
HYMAI	0.69768195
PLXNC1	0.69637535
TCEA3	0.695366005
TAOK3	0.694665385
GNAZ	0.69450852
SLC2A3	0.6940458033333333
ZNF540	0.693761
RFTN2	0.69358063
DLG2	0.6935448550000001
SAMD9	0.69353632
CA3	0.69343516
NBEA	0.69329916
SAMD9L	0.69310787
TNAP	0.69166947
CEP120	0.6916476300000001
PIK3CA	0.6910882433333333
ESCO1	0.69060996
C21orf62	0.689444615
CDIPT	0.68875114
RAB11FIP2	0.68834529
ITGA8	0.68556951
CARMN	0.685402945
CORO2B	0.68537866
ZNF395	0.6850615133333333
FAM13C	0.68457303
FYB	0.6843664780000001
NR4A1	0.6838550366666667
CA4	0.683337465
SNX9	0.6829906649999999
ZCCHC24	0.682519405
CPNE5	0.68245345
CEMIP	0.6817918399999999
TPM2	0.681706305
HS3ST2	0.68161255
RGS9	0.68118222
PIK3AP1	0.68108555
ZNF641	0.680765355
TPM1	0.6803827100000001
CYTIP	0.68023386
RALGDS	0.6793304250000001
CCPG1	0.6784889
FAM46C	0.67837298
ASAP1	0.678285088
DOCK4	0.67813151
MZB1	0.67802596
UACA	0.6779094999999999
MSC	0.67732286
MMP1	0.67648215
CASP12	0.67639178
CH25H	0.67600521
TRPV2	0.675863915
CAMK1G	0.675712895
PKD2	0.6755047
DES	0.6751928049999999
PAQR7	0.6750393
STAB1	0.6745053775
ROBO2	0.67412423
SUSD4	0.6724591233333334
AMHR2	0.67244767
ADAMTSL2	0.67209099
STMN2	0.67126119
DDX60	0.6711333
SLCO2B1	0.67088518
CEBPB	0.67014128
TMEM173	0.6701281800000001
SLC9A9	0.669596115
SUGCT	0.66950472
ME1	0.6688010899999999
CAMK2N1	0.66834295
EGR2	0.66781475
ERG	0.66708569
UCHL1	0.66650721
EEA1	0.6664609066666667
GRP	0.66592329
RRAGD	0.6652753849999999
STARD9	0.66486776
HS3ST3B1	0.6643448333333333
SAMSN1	0.6642936933333333
LPL	0.663136375
NFIL3	0.6626455
HSDL2	0.6624740725
HSPB8	0.66153858
GSTM4	0.66119789
MYCBP2	0.6610141466666666
PWAR5	0.66075271
PLBD2	0.66052486
TLR1	0.66016087
CCDC181	0.660101135
ANKRD36	0.660018115
CAMLG	0.65945805
FAM110C	0.65940427
IFIT3	0.65939004
ASXL3	0.6592426625000001
MORC3	0.65819675
TTC8	0.65760903
DPYD	0.6573548433333334
ANKRD13A	0.6570497200000001
ALOX5AP	0.65703735
ARHGAP18	0.6562513366666667
OSR1	0.65575554
EFHD1	0.65567122
INSL3	0.6550896266666667
DDX43	0.65498345
SLC38A6	0.65469867
P3H2	0.654680155
PTPRB	0.6535571425
FAM101B	0.6533197799999999
MTMR11	0.6527253399999999
NAV3	0.652246408
CACNA2D3	0.65103886
VEGFC	0.65095543
PLXNA2	0.6506264833333333
POU6F1	0.6501129075000001
CD47	0.6501046614285715
FPR3	0.64983656
MAML2	0.6498165300000001
