ID	adj.P.Val	P.Value	t	B	logFC	ORF
aroG	0.06467	3.18e-03	-4.12	-1.5789	-7.98e-02	aroG
yjbQ	0.06538	3.23e-03	-4.11	-1.595	-1.31e-01	yjbQ
ydeN	0.06538	3.25e-03	4.11	-1.5991	2.29e-01	ydeN
ygfI	0.06552	3.27e-03	4.10	-1.6059	1.24e-01	ygfI
frmR	0.06587	3.30e-03	4.09	-1.6158	5.72e-02	frmR
yecO	0.06589	3.32e-03	4.09	-1.6215	6.81e-02	yecO
yfhL	0.06589	3.33e-03	4.09	-1.625	9.33e-02	yfhL
udk	0.06663	3.38e-03	4.08	-1.6407	8.84e-02	udk
marR	0.06692	3.41e-03	4.07	-1.6496	1.03e-01	marR
yqjH	0.06704	3.44e-03	4.06	-1.6568	1.63e-01	yqjH
cyoE	0.06704	3.46e-03	-4.06	-1.6634	-1.94e-01	cyoE
yqgB	0.06704	3.47e-03	4.06	-1.6647	1.17e-01	yqgB
puuC	0.06715	3.51e-03	-4.05	-1.6783	-2.61e-01	puuC
ybjE	0.06715	3.52e-03	4.05	-1.6797	1.47e-01	ybjE
mazG	0.06715	3.52e-03	4.05	-1.6813	7.70e-02	mazG
yceF	0.06715	3.53e-03	-4.05	-1.6836	-7.62e-02	yceF
dusC	0.06794	3.63e-03	4.03	-1.711	1.16e-01	dusC
modA	0.06794	3.64e-03	-4.02	-1.7143	-7.97e-02	modA
yfbK	0.06794	3.64e-03	-4.02	-1.7156	-1.27e-01	yfbK
yraR	0.06794	3.65e-03	-4.02	-1.7162	-7.29e-02	yraR
frmB	0.06794	3.67e-03	4.02	-1.7228	1.14e-01	frmB
molR_3	0.06794	3.71e-03	-4.01	-1.7329	-1.26e-01	molR_3
yjjY	0.06794	3.72e-03	-4.01	-1.7376	-7.77e-02	yjjY
trpC	0.06794	3.73e-03	4.01	-1.7399	1.24e-01	trpC
ydjZ	0.06794	3.75e-03	-4.00	-1.7449	-1.37e-01	ydjZ
yfbN	0.06794	3.77e-03	4.00	-1.7489	1.44e-01	yfbN
metK	0.06794	3.77e-03	4.00	-1.7493	1.25e-01	metK
yohJ	0.06794	3.77e-03	-4.00	-1.7498	-1.12e-01	yohJ
yacL	0.06794	3.77e-03	-4.00	-1.7499	-7.95e-02	yacL
yceB	0.06806	3.79e-03	-4.00	-1.7557	-8.85e-02	yceB
tdcD	0.06855	3.83e-03	3.99	-1.767	8.39e-02	tdcD
ycbK	0.06962	3.92e-03	-3.97	-1.7882	-8.78e-02	ycbK
yeaA	0.06962	3.93e-03	3.97	-1.7907	7.20e-02	yeaA
maa	0.07026	3.98e-03	3.96	-1.804	1.64e-01	maa
tdcC	0.07068	4.02e-03	3.95	-1.8147	1.01e-01	tdcC
ade	0.07068	4.04e-03	3.95	-1.8189	8.22e-02	ade
tas	0.07068	4.05e-03	-3.95	-1.8233	-6.88e-02	tas
ydhC	0.07068	4.08e-03	3.94	-1.8298	1.19e-01	ydhC
mraZ	0.07068	4.08e-03	-3.94	-1.8298	-7.58e-02	mraZ
artI	0.0708	4.12e-03	3.94	-1.839	8.49e-02	artI
cyoD	0.0708	4.12e-03	-3.94	-1.8393	-1.64e-01	cyoD
ycaJ	0.07103	4.15e-03	3.93	-1.8464	9.92e-02	ycaJ
rob	0.0714	4.21e-03	-3.92	-1.8617	-6.76e-02	rob
yddM	0.0714	4.22e-03	-3.92	-1.863	-8.48e-02	yddM
queA	0.0714	4.26e-03	3.91	-1.8743	9.25e-02	queA
lysP	0.0714	4.27e-03	3.91	-1.8759	1.80e-01	lysP
ligT	0.0714	4.27e-03	3.91	-1.8763	8.64e-02	ligT
zntR	0.0714	4.29e-03	-3.91	-1.8797	-6.37e-02	zntR
yqeF	0.0714	4.31e-03	3.91	-1.8848	2.20e-01	yqeF
yicE	0.0714	4.32e-03	3.90	-1.8867	8.35e-02	yicE
yceK	0.0714	4.35e-03	-3.90	-1.8948	-6.07e-02	yceK
yqhA	0.0714	4.35e-03	3.90	-1.8948	8.98e-02	yqhA
galR	0.0714	4.36e-03	-3.90	-1.8961	-6.77e-02	galR
yeeV	0.0714	4.36e-03	-3.90	-1.8971	-2.09e-01	yeeV
yecH	0.07219	4.44e-03	-3.89	-1.9145	-1.50e-01	yecH
hcr	0.07219	4.44e-03	-3.88	-1.9155	-1.03e-01	hcr
hcaT	0.07239	4.49e-03	3.88	-1.9257	7.43e-02	hcaT
trpD	0.07239	4.49e-03	3.88	-1.9263	1.50e-01	trpD
glvG	0.07239	4.50e-03	-3.88	-1.9293	-6.17e-02	glvG
ychQ	0.07265	4.54e-03	3.87	-1.9365	1.10e-01	ychQ
yjiR	0.07335	4.60e-03	-3.86	-1.9498	-1.72e-01	yjiR
nikR	0.07458	4.69e-03	-3.85	-1.9703	-5.71e-02	nikR
rnpA	0.07479	4.76e-03	3.84	-1.9853	7.78e-02	rnpA
dapB	0.07479	4.77e-03	3.84	-1.9868	1.34e-01	dapB
yhhJ	0.07479	4.77e-03	3.83	-1.9877	1.16e-01	yhhJ
yccX	0.07479	4.79e-03	-3.83	-1.9926	-7.57e-02	yccX
dsrB	0.07479	4.82e-03	-3.83	-1.9979	-7.33e-02	dsrB
cmtB	0.07479	4.84e-03	3.82	-2.0028	2.82e-01	cmtB
ompF	0.07479	4.84e-03	3.82	-2.0031	8.90e-02	ompF
ybfA	0.07479	4.87e-03	-3.82	-2.0078	-8.05e-02	ybfA
nrfF	0.07479	4.88e-03	3.82	-2.0107	1.03e-01	nrfF
rsmC	0.07479	4.89e-03	3.82	-2.0117	9.43e-02	rsmC
tpr	0.07479	4.89e-03	3.82	-2.0119	1.32e-01	tpr
mdoH	0.07559	4.97e-03	3.81	-2.0288	8.38e-02	mdoH
ydgK	0.07559	4.97e-03	3.81	-2.0296	8.78e-02	ydgK
prpE	0.07571	5.00e-03	-3.80	-2.0346	-9.91e-02	prpE
yhjV	0.07579	5.03e-03	3.80	-2.0402	9.23e-02	yhjV
yjcB	0.07579	5.04e-03	-3.80	-2.0425	-2.58e-01	yjcB
yjfP	0.07585	5.06e-03	-3.79	-2.0466	-6.38e-02	yjfP
fepG	0.07611	5.09e-03	3.79	-2.0535	1.74e-01	fepG
rraA	0.0767	5.15e-03	-3.78	-2.0647	-1.04e-01	rraA
ygfB	0.0767	5.17e-03	-3.78	-2.068	-5.32e-02	ygfB
yhcN	0.07682	5.21e-03	-3.77	-2.0761	-1.10e-01	yhcN
yfaQ	0.07682	5.21e-03	-3.77	-2.0762	-9.06e-02	yfaQ
phoH	0.07763	5.29e-03	-3.76	-2.092	-1.97e-01	phoH
yeaY	0.07763	5.30e-03	3.76	-2.0934	6.35e-02	yeaY
ynjD	0.07801	5.34e-03	3.76	-2.1017	1.54e-01	ynjD
endA	0.07811	5.38e-03	3.75	-2.1097	1.49e-01	endA
yghX	0.07811	5.40e-03	-3.75	-2.112	-9.59e-02	yghX
yhdN	0.07811	5.42e-03	-3.75	-2.1155	-6.16e-02	yhdN
yccR	0.07811	5.42e-03	-3.75	-2.1162	-6.52e-02	yccR
yjdP	0.07876	5.48e-03	-3.74	-2.1277	-6.93e-02	yjdP
yaaY	0.07933	5.54e-03	-3.73	-2.1382	-1.15e-01	yaaY
alaX	0.07968	5.58e-03	3.73	-2.1459	8.95e-02	alaX
mviN	0.08028	5.65e-03	3.72	-2.1587	6.17e-02	mviN
ybaM	0.08028	5.66e-03	-3.72	-2.16	-6.59e-02	ybaM
ydeS	0.08033	5.68e-03	3.71	-2.1638	2.31e-01	ydeS
pepN	0.08037	5.70e-03	-3.71	-2.1674	-9.48e-02	pepN
phoU	0.08094	5.78e-03	3.70	-2.1811	5.69e-02	phoU
yddB	0.08094	5.79e-03	3.70	-2.1832	1.78e-01	yddB
yffH	0.08094	5.80e-03	-3.70	-2.1841	-7.30e-02	yffH
aegA	0.08096	5.82e-03	-3.70	-2.1875	-1.80e-01	aegA
tyrT	0.08102	5.85e-03	3.69	-2.1942	9.86e-02	tyrT
yneL	0.08102	5.88e-03	3.69	-2.1987	1.78e-01	yneL
aceF	0.08102	5.89e-03	-3.69	-2.2001	-1.42e-01	aceF
leuQ	0.08102	5.90e-03	3.69	-2.2017	7.03e-02	leuQ
puuB	0.08102	5.91e-03	-3.69	-2.2038	-2.50e-01	puuB
rtcA	0.08336	6.12e-03	-3.66	-2.2385	-7.12e-02	rtcA
prpD	0.08336	6.12e-03	-3.66	-2.2388	-1.61e-01	prpD
yhbU	0.08355	6.16e-03	-3.66	-2.2456	-1.56e-01	yhbU
yafD	0.08355	6.17e-03	-3.66	-2.2471	-1.13e-01	yafD
dmsB	0.08406	6.23e-03	3.65	-2.2564	1.54e-01	dmsB
ycaP	0.08445	6.27e-03	-3.65	-2.264	-7.91e-02	ycaP
yifE	0.0845	6.30e-03	-3.64	-2.268	-8.69e-02	yifE
ycbJ	0.0845	6.32e-03	-3.64	-2.2707	-1.57e-01	ycbJ
torI	0.08457	6.35e-03	-3.64	-2.2757	-8.44e-02	torI
fecD	0.08457	6.36e-03	-3.64	-2.2781	-1.77e-01	fecD
yfiM	0.08457	6.38e-03	-3.64	-2.2806	-9.42e-02	yfiM
yieE	0.08505	6.44e-03	-3.63	-2.2903	-9.30e-02	yieE
mdoB	0.08505	6.45e-03	3.63	-2.2923	7.84e-02	mdoB
yacH	0.08619	6.56e-03	-3.62	-2.3089	-1.35e-01	yacH
ygdQ	0.08619	6.61e-03	3.61	-2.316	9.31e-02	ygdQ
groS	0.08619	6.61e-03	3.61	-2.3169	8.21e-02	groS
narW	0.08619	6.62e-03	-3.61	-2.3175	-1.51e-01	narW
yiiF	0.0864	6.66e-03	-3.61	-2.3249	-8.26e-02	yiiF
yhdX	0.0864	6.67e-03	3.60	-2.3258	2.24e-01	yhdX
yjbD	0.087	6.74e-03	-3.60	-2.3357	-8.08e-02	yjbD
lysW	0.08751	6.80e-03	3.59	-2.3445	1.04e-01	lysW
ydcM	0.08817	6.88e-03	-3.58	-2.3576	-6.40e-02	ydcM
lysQ	0.08817	6.89e-03	3.58	-2.3579	9.18e-02	lysQ
ansP	0.08863	6.94e-03	3.58	-2.3659	1.52e-01	ansP
yjgH	0.08899	7.05e-03	-3.57	-2.3811	-6.48e-02	yjgH
tfaD	0.08899	7.05e-03	-3.57	-2.3821	-2.64e-01	tfaD
cueR	0.08899	7.06e-03	-3.57	-2.3829	-7.24e-02	cueR
rhtC	0.08899	7.07e-03	-3.57	-2.3844	-1.25e-01	rhtC
gspO	0.08899	7.08e-03	-3.56	-2.3856	-2.12e-01	gspO
yeeZ	0.08899	7.09e-03	-3.56	-2.3872	-8.23e-02	yeeZ
folM	0.08921	7.15e-03	-3.56	-2.3965	-5.43e-02	folM
yieI	0.08921	7.16e-03	3.56	-2.3976	5.72e-02	yieI
moaA	0.08921	7.17e-03	-3.56	-2.3982	-5.27e-02	moaA
dcuD	0.08944	7.21e-03	-3.55	-2.4039	-9.93e-02	dcuD
ybiW	0.08944	7.23e-03	-3.55	-2.407	-6.68e-02	ybiW
hcaE	0.08944	7.24e-03	-3.55	-2.4091	-6.40e-02	hcaE
