ID	logFC	Gene.symbol
211276_at	3.02751357	TCEAL2
225792_at	-2.85282083	HOOK1
227526_at	2.6694006	CDON
213707_s_at	-2.97103028	DLX5
206167_s_at	2.88149782	ARHGAP6
225846_at	-2.93742496	ESRP1
209242_at	2.90684041	PEG3
222877_at	3.42283374	NRP2
218901_at	2.62273819	PLSCR4
203498_at	3.14938541	RCAN2
212813_at	1.20689036	JAM3
203881_s_at	2.77968066	DMD
205517_at	2.71040568	GATA4
1553613_s_at	2.19939258	FOXC1
213429_at	2.32834999	BICC1
230081_at	3.37362609	PLCXD3
238091_at	2.22795997	LOC100506388
236892_s_at	-1.87524956	HOXB-AS3
205932_s_at	-4.48114962	MSX1
239984_at	2.95517357	
209200_at	1.61896492	MEF2C
209243_s_at	3.0883197	PEG3
229529_at	2.00029707	TCF21
214799_at	2.15683087	NFASC
228956_at	-3.14954098	UGT8
226865_at	1.64153369	PLXDC2
201430_s_at	2.86068226	DPYSL3
205234_at	2.47587532	SLC16A4
232370_at	-1.47475017	
201811_x_at	1.6427456	SH3BP5
41660_at	-1.98020334	CELSR1
207015_s_at	-1.77126592	ALDH1A2
219143_s_at	1.56795419	RPP25
213823_at	-3.14526972	HOXA11
231832_at	-3.27713555	POC1B-GALNT4///GALNT4
202074_s_at	1.43233295	OPTN
1552767_a_at	2.99055593	HS6ST2
227167_s_at	1.45868441	RASSF3
239468_at	3.32156714	MKX
207118_s_at	1.57293402	MMP23A///MMP23B
241789_at	2.57246776	RBMS3
230109_at	1.73904653	PDE7B
223423_at	-2.49251308	GPR160
204779_s_at	-2.29850636	HOXB7
233882_s_at	1.77397982	SEMA6D
229623_at	1.90073599	TMEM150C
220272_at	2.61464612	BNC2
214807_at	1.83250615	PLXDC2
227061_at	2.96853561	LINC01279
239309_at	-2.41029269	DLX6
208493_at	-2.49731422	HOXA11
224428_s_at	-3.93658675	CDCA7
209043_at	-2.04172231	PAPSS1
223193_x_at	1.08259296	FAM162A
222334_at	-3.23385219	LOC101929219///LOC100505650///C1orf186
236586_at	1.62635911	
201990_s_at	1.38972941	CREBL2
234074_at	1.41779926	
233607_at	1.89694445	
225782_at	2.42845193	MSRB3
226636_at	1.84888279	PLD1
220942_x_at	1.07852138	FAM162A
201641_at	2.79004161	BST2
205698_s_at	-1.81036336	MAP2K6
225004_at	-2.35641623	TMEM101
235148_at	-1.37563697	KRTCAP3
205044_at	-4.86767974	GABRP
241291_at	-5.68016059	LINC01541
219450_at	-1.34544486	C4orf19
223800_s_at	-2.52850499	LIMS4///LIMS3
207557_s_at	1.45925742	RYR2
220595_at	1.47802305	PDZRN4
218417_s_at	1.2371988	SLC48A1
213147_at	-2.81575552	HOXA10
225382_at	1.675616	ZNF275
209199_s_at	1.43418688	MEF2C
201615_x_at	2.46383886	CALD1
214945_at	2.5846694	LOC101930363///LOC101928349///LOC100507387///FAM153C///FAM153A///FAM153B
238447_at	2.45903062	RBMS3
228411_at	1.69012333	PARD3B
225871_at	1.89686957	STEAP2
218857_s_at	-3.54250451	ASRGL1
230722_at	2.47836333	BNC2
228109_at	2.98865957	RASGRF2
206893_at	-2.92480313	SALL1
231001_at	2.28101695	FIBIN
218656_s_at	1.90017158	LHFP
209168_at	-2.3500365	GPM6B
216905_s_at	-1.9780368	ST14
209529_at	-2.34977841	PLPP2
65517_at	-1.52293708	AP1M2
221874_at	-3.00419548	KIAA1324
203323_at	1.86113537	CAV2
40284_at	-1.65574757	FOXA2
205079_s_at	1.36182785	MPDZ
236279_at	-1.23450851	
209539_at	1.4872565	ARHGEF6
218854_at	2.29095203	DSE
216733_s_at	2.88243277	GATM
226424_at	-2.53601502	CAPS
219331_s_at	2.96603793	KLHDC8A
213150_at	-3.89059839	HOXA10
229225_at	2.55228133	NRP2
235570_at	2.47622458	RBMS3
205666_at	2.50495688	FMO1
236184_at	1.82391347	
222764_at	-3.4728865	ASRGL1
202760_s_at	1.71034579	PALM2-AKAP2///AKAP2
227758_at	2.26898722	RERG
219863_at	1.99278695	HERC5
239262_at	2.70469083	
236010_at	1.58483289	
212886_at	1.75421221	CCDC69
205225_at	-2.92133021	ESR1
222871_at	2.17730145	KLHDC8A
240777_at	1.89503731	SYNE2
213929_at	-1.93222747	EXPH5
207542_s_at	1.42347599	AQP1
219976_at	-1.69411096	HOOK1
40016_g_at	1.23238239	MAST4
204882_at	1.064063	ARHGAP25
224189_x_at	-1.99733323	EHF
1552911_at	2.26715493	SIGLEC11
233036_at	2.04596536	
231098_at	2.39496022	
58916_at	-2.01825223	NDUFC2-KCTD14///KCTD14
206637_at	-3.64786317	P2RY14
229910_at	1.45765698	SHE
215058_at	1.95291492	DENND5B
225162_at	2.34093807	SH3D19
204303_s_at	1.03987239	CTIF
231329_at	2.34331941	
225016_at	-2.88017772	APCDD1
221748_s_at	1.97137892	TNS1
222581_at	-1.27273078	XPR1
202376_at	2.40096594	SERPINA3
225242_s_at	2.5036045	CCDC80
220994_s_at	-2.14513335	STXBP6
214044_at	1.50282864	RYR2
219895_at	4.21335582	TMEM255A
209692_at	-3.54032352	EYA2
230030_at	2.79857146	HS6ST2
226522_at	1.90175332	PODN
201810_s_at	1.65489154	SH3BP5
230560_at	-3.25419027	STXBP6
217897_at	1.81264156	FXYD6
202597_at	-1.46313786	IRF6
201689_s_at	-2.40204665	TPD52
225273_at	1.23221836	WWC3
214079_at	3.82193778	DHRS2
201496_x_at	3.76914486	MYH11
228224_at	3.03926199	PRELP
232568_at	2.37459378	MGC24103
226824_at	2.8580007	CPXM2
215552_s_at	-1.6236213	ESR1
225491_at	-1.75321629	SLC1A2
214374_s_at	2.68084997	PPFIBP1
227307_at	1.27011478	TSPAN18
201200_at	1.43535794	CREG1
230068_s_at	2.24083474	PEG3-AS1
239270_at	2.54709535	PLCXD3
238718_at	1.9365985	
224061_at	2.25810381	INMT
1566482_at	1.71340765	
226103_at	3.04110155	NEXN
230741_at	1.66648256	P2RX7
227417_at	1.54591569	MARC2
226625_at	2.70994755	TGFBR3
206858_s_at	3.50494944	HOXC6
204519_s_at	-1.9547084	PLLP
209772_s_at	-3.39915183	CD24
207016_s_at	-3.34559735	LOC101928635///ALDH1A2
227484_at	1.11460481	SRGAP1
1556402_at	1.61092207	
225800_at	-1.74142924	JAZF1
212660_at	1.35363623	JADE2
235350_at	-1.5651916	C4orf19
219949_at	2.44570426	LRRC2
203997_at	-1.48586452	PTPN3
205399_at	1.83544553	DCLK1
204939_s_at	3.12540538	PLN
203954_x_at	-2.08857291	CLDN3
222853_at	2.50462466	FLRT3
231729_s_at	-2.84837376	CAPS
232914_s_at	2.31425142	SYTL2
204731_at	2.91739529	TGFBR3
235979_at	2.63977061	C7
204082_at	2.08429141	PBX3
228551_at	2.10081456	DENND5B
219304_s_at	2.63347936	PDGFD
221950_at	-1.75264351	EMX2
202746_at	3.11067283	ITM2A
225790_at	1.9677268	MSRB3
202454_s_at	-2.36320691	ERBB3
229273_at	-3.19937657	SALL1
236118_at	1.33246816	GATA6-AS1
219993_at	-3.28995955	SOX17
241302_at	2.03355295	
203058_s_at	1.8774951	PAPSS2
219520_s_at	1.04480434	WWC3
227503_at	1.42249422	NECTIN3
205123_s_at	-1.88378282	MSANTD3-TMEFF1///TMEFF1
228365_at	1.57255255	CPNE8
203706_s_at	3.37486855	FZD7
222746_s_at	-0.98323212	BSPRY
211235_s_at	-1.29713907	ESR1
225566_at	1.99978345	NRP2
201785_at	1.79148882	RNASE1
231180_at	-1.93094617	
202949_s_at	2.325216	FHL2
242541_at	2.1249073	ABCA9
202112_at	1.22688929	VWF
205782_at	2.8125785	FGF7
234269_at	-1.40318397	
228400_at	-2.12588536	SHROOM3
202501_at	0.94870432	MAPRE2
209981_at	1.38665645	CSDC2
211726_s_at	2.47756603	FMO2
1554697_at	-2.10532562	ADAMTS9
203620_s_at	1.19874314	FCHSD2
226403_at	-1.89866233	TMC4
213290_at	1.61930355	COL6A2
204942_s_at	-1.16258331	ALDH3B2
225496_s_at	2.25080529	SYTL2
219489_s_at	-1.15455289	NXN
203060_s_at	1.97590138	PAPSS2
235723_at	2.10739006	BNC2
236144_at	2.62820309	CPXM2
235955_at	-1.29143439	MARVELD2
206228_at	-1.38233338	PAX2
230466_s_at	1.56404077	RASSF3
212673_at	-0.93726014	METAP1
243349_at	-2.06026347	KIAA1324
219873_at	2.58168204	COLEC11
227985_at	-1.09233942	LOC100506098
235850_at	1.68776791	FAM162A
212294_at	1.02383498	GNG12
219648_at	-1.79850754	MREG
201839_s_at	-4.6353462	EPCAM
205150_s_at	1.29213587	TRIL
203213_at	-2.82298431	CDK1
209170_s_at	-2.5389018	GPM6B
221766_s_at	1.78114258	FAM46A
1566163_at	1.2097764	
223316_at	2.19558268	CCDC3
213285_at	-2.20881794	TMEM30B
201792_at	2.72186285	AEBP1
239155_at	-1.34794922	CXADR
218711_s_at	1.8538194	SDPR
242532_at	2.81757384	
204473_s_at	-1.18923429	ZNF592
1557545_s_at	-1.22299802	RNF165
214632_at	1.85527025	NRP2
201688_s_at	-2.24567869	TPD52
230991_at	-1.55101761	LOC102724156
229844_at	1.57969337	FOXP1
217966_s_at	1.48003681	FAM129A
203680_at	2.77008486	PRKAR2B
219250_s_at	2.18447862	FLRT3
220532_s_at	2.83099711	TMEM176B
227677_at	1.79812588	JAK3
224762_at	-1.84202656	SERINC2
218918_at	1.62732083	MAN1C1
218665_at	1.12878964	FZD4
203744_at	-1.72381755	HMGB3
240112_at	2.35503078	
226213_at	-2.99475758	ERBB3
217504_at	2.83316861	ABCA6
215930_s_at	-1.09435265	CTAGE5
204457_s_at	2.97262911	GAS1
221747_at	1.59759915	TNS1
214434_at	1.05740337	HSPA12A
207864_at	2.27561371	SCN7A
227084_at	1.50951923	DTNA
225373_at	1.45511611	C10orf54
223245_at	-1.14505285	STRBP
205803_s_at	1.42328158	TRPC1
219850_s_at	-2.61269789	EHF
244745_at	1.92618138	RERG
231067_s_at	2.46476392	AKAP12
206463_s_at	1.47594214	DHRS2
207808_s_at	2.91219021	PROS1
242385_at	-2.82016116	RORB
211778_s_at	-1.56391692	OVOL2
207961_x_at	3.07310591	MYH11
217967_s_at	2.20237419	FAM129A
201497_x_at	3.72071756	MYH11
225241_at	2.17764474	CCDC80
213308_at	-2.34410788	SHANK2
209624_s_at	-1.48121027	MCCC2
205608_s_at	1.74602493	ANGPT1
225755_at	0.99389614	KLHDC8B
217752_s_at	-1.62643187	CNDP2
242494_at	-1.1931643	
224992_s_at	0.86011854	CMIP
243041_s_at	1.60769961	
227174_at	-2.27499703	WDR72
218217_at	0.97269491	SCPEP1
227919_at	-3.57305425	UCA1
204548_at	4.75009187	STAR
214734_at	-1.50069891	EXPH5
226694_at	1.72662933	PALM2-AKAP2///AKAP2
241397_at	-2.23612349	
213661_at	-2.97403327	PAMR1
219501_at	1.54749108	ENOX1
208864_s_at	-1.48540946	TXN
1553102_a_at	1.62635065	CCDC69
222717_at	2.27028374	SDPR
231007_at	-4.09324415	
200671_s_at	1.34512193	SPTBN1
220580_at	1.0761271	BICC1
223165_s_at	-1.21608672	IP6K2
224650_at	-3.46987769	MAL2
204646_at	1.97644108	DPYD
219371_s_at	2.68861121	KLF2
205609_at	2.48700188	ANGPT1
231906_at	1.38267328	HOXD8
203698_s_at	2.46925536	FRZB
201510_at	-2.02534839	ELF3
228877_at	-1.2728058	RGL3
219049_at	2.59795233	CSGALNACT1
203256_at	2.78816566	CDH3
1553062_at	-1.65363469	MOGAT1
209890_at	1.28413391	TSPAN5
212950_at	1.43836823	ADGRF5
232361_s_at	-2.39438818	EHF
209360_s_at	1.79181095	LOC101928269///LOC100506403///RUNX1
240934_at	-1.01589503	
223008_s_at	1.05406354	TMEM245
201185_at	1.81359214	HTRA1
202073_at	2.00552976	OPTN
1559550_s_at	2.14619176	
200911_s_at	1.06717361	TACC1
208933_s_at	1.1032239	LGALS8
235085_at	1.45413327	SGK223
32625_at	1.53012597	NPR1
209147_s_at	-1.87076322	PLPP1
208763_s_at	1.57689015	TSC22D3
218345_at	1.76398958	TMEM176A
1566284_at	-1.57917117	
220541_at	-4.55534166	MMP26
225548_at	-2.11495108	SHROOM3
210108_at	-2.89079215	CACNA1D
233520_s_at	1.32284698	CMYA5
205600_x_at	-1.40364271	HOXB5
205003_at	1.56658088	DOCK4
243864_at	1.9355282	CCDC80
227995_at	1.23756719	PLXDC2
212687_at	-1.14590328	LIMS4///LIMS3///LIMS1
227642_at	-1.20804112	TFCP2L1
232850_at	-1.79024792	
239710_at	2.09175861	FIGN
241470_x_at	1.43455666	RASSF9
226814_at	-2.09973286	ADAMTS9
238478_at	2.58108132	BNC2
204894_s_at	2.11273404	AOC3
202790_at	-1.38548076	CLDN7
225571_at	2.12909322	LIFR
207283_at	1.22898942	RPL23AP32
202465_at	-1.5129855	PCOLCE
232567_at	-1.33818086	PRR5-ARHGAP8///ARHGAP8
203214_x_at	-2.44249465	CDK1
1552477_a_at	-2.28925725	IRF6
201462_at	0.93837777	SCRN1
213307_at	-1.61607875	SHANK2
218699_at	1.40204008	RAB29
231728_at	-2.3437948	CAPS
204466_s_at	1.21474759	SNCA
209623_at	-1.33959586	MCCC2
236600_at	1.53306912	SPG20
219610_at	1.2973492	ARHGEF28
203799_at	1.85202794	LY75-CD302///CD302///LY75
202156_s_at	1.99051778	CELF2
209365_s_at	-2.89935306	ECM1
220442_at	-2.38959518	POC1B-GALNT4///GALNT4
216973_s_at	-2.06611225	HOXB7
205330_at	1.91220097	MN1
208935_s_at	1.18082811	LGALS8
205466_s_at	2.8905046	HS3ST1
1554413_s_at	1.33054963	SNX29P1///SNX29P2
214651_s_at	-3.52630327	HOXA10-HOXA9///MIR196B///HOXA9
226374_at	-2.55540923	CXADR
210559_s_at	-2.76808181	CDK1
1556413_a_at	1.50731985	
226612_at	1.49557535	UBE2QL1
242775_at	-1.33703102	
204396_s_at	1.72362944	GRK5
203697_at	2.47485266	FRZB
229124_at	2.92519135	PROK1
227753_at	-1.52459234	TMEM139
225383_at	1.43282176	ZNF275
1554375_a_at	1.91852739	NR1H4
226462_at	-1.7827894	STXBP6
209759_s_at	-1.81656845	ECI1
216333_x_at	1.80546735	TNXB///TNXA
243636_s_at	1.61046906	
230788_at	-1.93351295	GCNT2
220979_s_at	2.44889844	ST6GALNAC5
227530_at	2.42307994	AKAP12
205074_at	-1.37905616	SLC22A5
209815_at	-3.08196117	PTCH1
235306_at	2.1193019	GIMAP8
225301_s_at	-1.64028374	MYO5B
218864_at	0.80518095	TNS1
227853_at	0.9915468	PLBD2
202429_s_at	0.8474067	PPP3CA
205226_at	1.72860027	PDGFRL
48106_at	1.03324881	SLC48A1
229096_at	-2.46090793	LOC100507334///LOC100288570///LIMS3-LOC440895///LOC440895
236262_at	1.37288106	MMRN2
219025_at	-1.1790334	CD248
201690_s_at	-2.13460675	TPD52
227875_at	-1.22550212	KLHL13
201666_at	2.338139	TIMP1
1552309_a_at	2.79539648	NEXN
202747_s_at	2.4688128	ITM2A
201050_at	0.73153485	PLD3
218204_s_at	1.15058099	FYCO1
226420_at	-2.40539101	MECOM
226283_at	-1.57986208	POC1B
226380_at	0.79830406	PTPN21
204940_at	2.53770866	PLN
219091_s_at	1.21162208	MMRN2
243090_at	1.35105996	
227867_at	1.83683894	TRABD2A
214120_at	1.16864295	RFPL1S
213249_at	0.96802039	FBXL7
226237_at	4.38695523	COL8A1
208358_s_at	-1.55446359	UGT8
222236_s_at	0.98369564	ASAP3
223754_at	-2.05106533	C2orf88
225990_at	1.96252198	BOC
242406_at	-4.57152174	
202274_at	3.56572184	ACTG2
208070_s_at	-1.7705513	REV3L
215983_s_at	1.98134799	UBXN8
221073_s_at	1.03966344	NOD1
229916_at	2.49651527	ENPP6
208937_s_at	-2.33172915	ID1
205083_at	3.3553998	AOX1
206340_at	1.58376117	NR1H4
231773_at	2.75708904	ANGPTL1
240052_at	2.14581566	ITPR1
229964_at	-2.39053124	C9orf152
228438_at	1.97014456	MSC-AS1
204284_at	1.62786303	PPP1R3C
205122_at	-1.98664465	MSANTD3-TMEFF1///TMEFF1
227279_at	1.13744117	TCEAL3
229287_at	1.23732067	PCNX1
217080_s_at	-1.67073507	HOMER2
226272_at	-1.58432696	RCAN3
234118_at	1.87919968	
203759_at	1.11679051	ST3GAL4
223502_s_at	2.40239666	TNFSF13B
209905_at	-3.04642987	HOXA10-HOXA9///MIR196B///HOXA9
225056_at	1.49098672	SIPA1L2
33767_at	1.645257	NEFH
225927_at	-1.23666314	MAP3K1
206093_x_at	1.80963961	TNXB///TNXA
201938_at	-1.0669101	CDK2AP1
228415_at	-1.66954299	AP1S2
230964_at	-2.4836558	FREM2
208626_s_at	0.99548849	VAT1
228298_at	1.2728045	PCED1B
209075_s_at	0.80528028	ISCU
203453_at	-2.67480932	SCNN1A
230943_at	-3.60079292	SOX17
229667_s_at	-1.32268341	HOXB8
222453_at	2.15364697	CYBRD1
236936_at	2.10492249	
200982_s_at	0.89890912	ANXA6
226683_at	1.16643375	SNX18
241917_at	1.02795957	
1565406_a_at	0.89925858	LHX9
220174_at	-0.97890868	LRRC8E
209710_at	-1.77519598	GATA2
209169_at	-1.77537388	GPM6B
217947_at	-1.35198669	CMTM6
227529_s_at	2.70595828	AKAP12
241600_at	1.57896326	WIPF3
209655_s_at	1.78954289	TMEM47
202158_s_at	1.87884168	CELF2
201117_s_at	2.04470201	CPE
229912_at	-1.94691065	SDK1
212071_s_at	1.2012004	SPTBN1
241399_at	2.2726452	FAM19A2
202425_x_at	0.8210996	PPP3CA
203917_at	-2.56490049	CXADR
216321_s_at	1.37368081	NR3C1
222281_s_at	-4.83650661	LOC101929219///LOC100505650///C1orf186
210749_x_at	-0.71589999	MIR4640///DDR1
226425_at	2.28866075	CLIP4
243584_at	2.25960241	
1554089_s_at	1.13644656	SBDSP1///SBDS
201968_s_at	1.04227835	PGM1
230999_at	1.06897157	ST3GAL4-AS1
210946_at	-1.74999407	PLPP1
214308_s_at	-1.54856969	HGD
210046_s_at	-1.17826933	IDH2
45526_g_at	-0.59734656	NAA60
228202_at	2.92431965	
213397_x_at	2.90661761	RNASE4
229222_at	1.48529793	ACSS3
1555112_a_at	1.39350552	CCDC181
213695_at	1.74828591	PON3
205756_s_at	1.55559468	F8
214745_at	-1.61022626	PLCH1
235874_at	2.57817375	PRSS35
219527_at	0.96568337	MARC2
37005_at	1.93211076	MINOS1-NBL1///NBL1
203066_at	1.47491905	CHST15
205632_s_at	-2.94116214	PIP5K1B
229461_x_at	2.71066847	NEGR1
208651_x_at	-4.25905138	CD24
232360_at	-2.8361856	EHF
229407_at	-1.56814355	SDK1
230281_at	-1.29931732	C16orf46
1560253_at	1.21970925	LHX9
203233_at	1.34669501	IL4R
236236_at	1.14898673	WNK3
218353_at	1.71065832	RGS5
219791_s_at	-1.76142437	HAND2-AS1
210517_s_at	2.06882978	AKAP12
227826_s_at	2.34448986	SORBS2
204938_s_at	2.36285011	PLN
228010_at	-2.64437174	PPP2R2C
209236_at	1.15736012	SLC23A2
212338_at	1.40183432	MYO1D
202087_s_at	1.26741393	CTSL
203434_s_at	-2.68893342	MME
226326_at	1.13913519	PCGF5
227725_at	-2.22653261	ST6GALNAC1
200944_s_at	-0.87295784	LOC101927733///HMGN1
229526_at	1.86404478	AQP11
202808_at	1.15637364	WBP1L
244503_at	2.40251558	
220432_s_at	1.6689003	CYP39A1
200785_s_at	1.30702088	LRP1
206960_at	1.40158335	LPAR4
209173_at	-3.8410898	AGR2
224698_at	1.21875548	ESYT2
209167_at	-2.03751331	GPM6B
201482_at	1.13488487	QSOX1
240690_at	1.47247962	
220037_s_at	2.01667396	LYVE1
219550_at	1.35340282	ROBO3
232994_s_at	1.62448977	ARHGEF28
210319_x_at	-4.0740858	MSX2
205082_s_at	2.58632816	AOX1
202759_s_at	1.5384633	PALM2-AKAP2///AKAP2
236599_at	1.57910007	
211844_s_at	1.24253123	NRP2
233252_s_at	-1.01110918	STRBP
213273_at	1.51592381	TENM4
218487_at	0.96944484	ALAD
222592_s_at	-2.10555959	ACSL5
208965_s_at	1.21240875	IFI16
204916_at	-1.34737474	RAMP1
209656_s_at	1.964473	TMEM47
204072_s_at	1.99082764	FRY
202552_s_at	1.58883971	LOC101929500///CRIM1
229223_at	-1.1488156	
204151_x_at	1.19911987	AKR1C1
211275_s_at	0.86367595	GYG1
1560924_at	-1.91637572	
222880_at	1.46731017	AKT3
202619_s_at	1.6147676	PLOD2
206814_at	1.31323748	NGF
210170_at	3.54689271	PDLIM3
35148_at	-1.10601288	TJP3
217983_s_at	-1.89428665	RNASET2
203980_at	2.96821658	FABP4
226016_at	1.43576105	CD47
214375_at	2.05226057	PPFIBP1
233386_at	1.38081944	
219973_at	-1.25141637	ARSJ
218261_at	-1.19181105	AP1M2
228546_at	-2.29398448	DPP6
228904_at	-3.21216696	HOXB3
218749_s_at	0.77728073	SLC8B1
1552496_a_at	-1.10273263	COBL
1569666_s_at	-0.96292415	
225915_at	1.31641428	CAB39L
231040_at	-3.15214358	RORB
224837_at	1.72070473	FOXP1
209771_x_at	-4.70285764	CD24
206101_at	2.39542489	ECM2
228004_at	-1.18114656	LINC00261
224823_at	2.12716292	MYLK
204934_s_at	-1.31343458	HPN
1554127_s_at	1.60634511	MSRB3
219545_at	-1.29144272	NDUFC2-KCTD14///KCTD14
202975_s_at	1.56030081	RHOBTB3
200606_at	-2.02558835	DSP
240245_at	1.6035457	
232979_at	-1.40260928	MIR10A
223474_at	1.24920579	IRF2BPL
208650_s_at	-4.83387735	CD24
210473_s_at	-0.8426528	ADGRA3
202555_s_at	2.43530984	MYLK
1554690_a_at	1.30079881	TACC1
209613_s_at	4.12971476	ADH1B
223779_at	1.18914608	AFAP1-AS1
224560_at	1.54635012	TIMP2
229266_at	-2.70157258	SHISA6
201809_s_at	1.22629321	ENG
235420_at	-1.12616207	HAPLN4
232279_at	1.22791427	JADE2
219059_s_at	1.95995196	LYVE1
231899_at	1.10064265	ZC3H12C
226961_at	-2.61200298	PRR15
239148_at	-1.40411866	MARVELD3
220761_s_at	0.89300636	TAOK3
237157_at	1.43206255	
211535_s_at	1.07616624	FGFR1
203222_s_at	-1.35887964	TLE1
213306_at	1.34482988	MPDZ
229890_at	1.3282805	LOC100507547///PRRT1
235867_at	1.4081782	GSTM3
202446_s_at	1.45288005	PLSCR1
222043_at	2.32141583	CLU
204438_at	2.2299912	MRC1
235179_at	0.96121452	ZNF641
229800_at	1.35626462	DCLK1
200784_s_at	1.04857458	LRP1
205158_at	2.76813102	RNASE4
229247_at	-1.10568675	FBLN7
225820_at	1.27169394	JADE1
211300_s_at	-1.34176733	TP53
208690_s_at	-1.60829276	PDLIM1
239006_at	-3.34760114	SLC26A7
36920_at	0.96728864	MTM1
206443_at	-1.50990145	RORB
213151_s_at	0.83644643	SEPT7
204513_s_at	1.04313774	ELMO1
201240_s_at	-0.59565316	SPCS2
230666_at	-1.9665706	HOXA11-AS
36499_at	-0.96505815	CELSR2
204497_at	0.96059437	ADCY9
202017_at	1.0657992	EPHX1
221246_x_at	1.11674472	TNS1
202457_s_at	0.76208433	PPP3CA
228195_at	-3.33164695	C2orf88
232935_at	1.63861136	
205918_at	1.14709563	SLC4A3
203139_at	1.88327681	DAPK1
228836_at	-0.91218607	SLC25A35
37022_at	0.99756701	PRELP
213451_x_at	1.81131012	TNXB///TNXA
229802_at	3.18273042	WISP1
232465_at	1.02059801	
229292_at	-1.31052177	EPB41L5
209114_at	-1.87495316	TSPAN1
214109_at	-0.84083971	LRBA
205547_s_at	2.81769054	TAGLN
212221_x_at	1.16601032	IDS
217073_x_at	1.35009137	APOA1
218451_at	-1.03445213	CDCP1
224838_at	1.98708019	FOXP1
225387_at	1.23993292	TSPAN5
232389_at	0.92287368	WIPF3
201843_s_at	2.96063247	EFEMP1
233365_at	1.48086621	
204026_s_at	-2.55009254	ZWINT
219768_at	-1.92616724	VTCN1
223047_at	-1.55082956	CMTM6
227394_at	2.25996275	NCAM1
224593_at	-0.71742693	ZNF664
201834_at	-0.78092993	PRKAB1
203786_s_at	-1.72922385	TPD52L1
200965_s_at	2.17792473	ABLIM1
223696_at	-0.80147829	ARSD
212530_at	1.38476365	NEK7
238577_s_at	1.47558353	TSHZ2
210794_s_at	1.50070892	MEG3
201616_s_at	1.91537656	CALD1
227949_at	1.64540225	PHACTR3
228825_at	-0.88606056	PTGR1
1562290_at	-2.64756629	
224695_at	-1.01030505	CNOT11
225645_at	-4.46310255	EHF
1557553_at	1.88328103	PPP1R12B
38149_at	1.11449058	ARHGAP25
210958_s_at	0.89016534	MAST4
212951_at	1.09875547	ADGRF5
218820_at	-1.09706861	C14orf132
204740_at	-0.95944441	CNKSR1
237269_at	-2.28047443	
227334_at	-0.77046643	USP54
202864_s_at	1.03346962	SP100
202350_s_at	2.18951225	LOC100506558///MATN2
205907_s_at	2.10515992	OMD
216379_x_at	-4.84551451	CD24
222033_s_at	1.09216416	FLT1
213272_s_at	1.25163276	TMEM159
201865_x_at	0.98862893	NR3C1
204778_x_at	-1.67143273	HOXB7
